PROJECT_ID,LEARNER_ID,SEQUENCE_NO,COMPANY_ID,COMPANY_NAME,POSITION_ID,PROJECT_NAME,DESCRIPTION,START_DATE,END_DATE,VERIFY_ID,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
PRJB57B32EEA219413F,LNR-202600013,1,COMP-202600006,PTT,10,E-Commerce App,Developed and maintained a key system feature.,2025-08-08,2025-11-09,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJE57AFA3D47134AFB,LNR-202600016,1,COMP-202600002,Google Thailand,1,E-Commerce App,Developed and maintained a key system feature.,2024-09-06,2025-02-04,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ4DD1327A84074EEA,LNR-202600016,2,COMP-202600006,Agoda,3,API Gateway,Developed and maintained a key system feature.,2024-03-02,2024-04-19,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJECEAA8B7DC904FFE,LNR-202600024,1,COMP-202600003,LINE Thailand,5,HR Platform,Developed and maintained a key system feature.,2024-06-16,2024-08-27,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJCA706C0BD0B749AD,LNR-202600024,2,COMP-202600007,SCG,9,API Gateway,Developed and maintained a key system feature.,2025-07-02,2025-11-15,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ300320465A9C4334,LNR-202600027,1,COMP-202600010,Google Thailand,6,Data Dashboard,Developed and maintained a key system feature.,2024-03-29,2024-06-06,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ0A2EFAED8FA54866,LNR-202600029,1,COMP-202600004,PTT,3,HR Platform,Developed and maintained a key system feature.,2024-11-22,2025-03-14,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJCFBBBA720A514905,LNR-202600030,1,COMP-202600003,Bangchak,7,HR Platform,Developed and maintained a key system feature.,2025-02-04,2025-05-14,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ6DA1E235BE284CB7,LNR-202600030,2,,Bangchak,3,HR Platform,Developed and maintained a key system feature.,2024-05-15,2024-09-21,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ863BF6BFE5124B17,LNR-202600032,1,COMP-202600003,KBTG,6,E-Commerce App,Developed and maintained a key system feature.,2024-04-14,2024-07-24,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ26D95952A77D40AF,LNR-202600032,2,COMP-202600010,Bangchak,8,Data Dashboard,Developed and maintained a key system feature.,2024-11-02,2025-02-25,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJDA16ABAEB3F047D2,LNR-202600034,1,COMP-202600002,SCBX,5,E-Commerce App,Developed and maintained a key system feature.,2025-05-19,2025-07-05,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJA4603EFD60A648A1,LNR-202600036,1,,Google Thailand,10,Data Dashboard,Developed and maintained a key system feature.,2024-12-12,2025-01-18,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJCFC7F0EFC7F843FA,LNR-202600036,2,COMP-202600010,,2,Data Dashboard,Developed and maintained a key system feature.,2025-01-23,2025-04-22,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ7F968C6F28514B77,LNR-202600037,1,COMP-202600009,Bangchak,7,HR Platform,Developed and maintained a key system feature.,2024-08-30,2024-12-14,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ3EFDD88AF4654871,LNR-202600039,1,COMP-202600010,SCG,9,HR Platform,Developed and maintained a key system feature.,2024-11-04,2025-03-17,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ0CFCBD04F7A74350,LNR-202600041,1,,PTT,9,HR Platform,Developed and maintained a key system feature.,2024-07-12,2024-12-28,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJC2FCEAB848E446CD,LNR-202600041,2,COMP-202600009,KBTG,7,Data Dashboard,Developed and maintained a key system feature.,2024-09-08,2025-02-18,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ4EC8A52EA3D644AF,LNR-202600042,1,COMP-202600006,Agoda,3,API Gateway,Developed and maintained a key system feature.,2025-04-21,2025-09-06,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ5A7438EEA11F46C7,LNR-202600042,2,COMP-202600003,SCBX,2,API Gateway,Developed and maintained a key system feature.,2025-07-07,2025-10-11,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJCCACF60C97F242DC,LNR-202600043,1,COMP-202600003,Bangchak,9,Data Dashboard,Developed and maintained a key system feature.,2024-04-26,2024-08-09,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ1A6CE7303BDF4E54,LNR-202600044,1,COMP-202600008,SCG,8,Data Dashboard,Developed and maintained a key system feature.,2025-01-30,2025-03-31,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ64A591439506423B,LNR-202600045,1,COMP-202600010,Google Thailand,5,Data Dashboard,Developed and maintained a key system feature.,2025-06-16,2025-07-29,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJCC628BC9D0914E55,LNR-202600046,1,COMP-202600010,SCBX,9,E-Commerce App,Developed and maintained a key system feature.,2024-07-24,2025-01-12,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJB53C54BCEC1446B0,LNR-202600046,2,COMP-202600003,Bangchak,3,API Gateway,Developed and maintained a key system feature.,2024-11-14,2025-05-09,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ85FAF1BA55EC43D4,LNR-202600047,1,COMP-202600004,AIS,8,E-Commerce App,Developed and maintained a key system feature.,2024-08-07,2024-10-30,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJE9133088044E49ED,LNR-202600048,1,COMP-202600009,SCG,8,Data Dashboard,Developed and maintained a key system feature.,2024-03-03,2024-07-21,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ8E37AEE1577A439E,LNR-202600048,2,COMP-202600008,,2,Data Dashboard,Developed and maintained a key system feature.,2025-07-24,2026-01-05,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJB5125AFBD1204CDA,LNR-202600049,1,COMP-202600010,Agoda,5,Data Dashboard,Developed and maintained a key system feature.,2024-06-04,2024-11-21,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJFDA94545EB024566,LNR-202600051,1,COMP-202600005,Bangchak,2,Data Dashboard,Developed and maintained a key system feature.,2024-03-17,2024-07-11,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ26F58A88BC094768,LNR-202600051,2,COMP-202600003,SCG,2,HR Platform,Developed and maintained a key system feature.,2024-10-22,2025-01-20,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJF025EF5CA9F14A10,LNR-202600053,1,COMP-202600005,,10,API Gateway,Developed and maintained a key system feature.,2025-04-20,2025-06-15,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ38C0B106369E41FC,LNR-202600053,2,COMP-202600006,Bangchak,3,Data Dashboard,Developed and maintained a key system feature.,2024-04-23,2024-07-13,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJC69EFC55EE5943FA,LNR-202600054,1,COMP-202600007,SCBX,1,HR Platform,Developed and maintained a key system feature.,2025-08-23,2025-12-27,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ3AD6BB7FB1BA43BB,LNR-202600055,1,COMP-202600002,Agoda,6,HR Platform,Developed and maintained a key system feature.,2025-03-12,2025-06-26,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJF894F14A0ABC49EE,LNR-202600055,2,COMP-202600008,Google Thailand,6,E-Commerce App,Developed and maintained a key system feature.,2025-05-10,2025-07-18,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJA40F40547A1D4567,LNR-202600057,1,COMP-202600007,Agoda,9,E-Commerce App,Developed and maintained a key system feature.,2025-03-08,2025-06-22,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ03C04802AE9E4A44,LNR-202600057,2,COMP-202600009,SCBX,6,API Gateway,Developed and maintained a key system feature.,2024-04-08,2024-07-09,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJDC45263F1F464611,LNR-202600058,1,COMP-202600007,KBTG,4,HR Platform,Developed and maintained a key system feature.,2024-08-24,2024-10-29,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ412F9C89DE8A4ECD,LNR-202600059,1,COMP-202600004,KBTG,5,HR Platform,Developed and maintained a key system feature.,2025-03-28,2025-07-13,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ5B636F61F2984131,LNR-202600060,1,,LINE Thailand,6,API Gateway,Developed and maintained a key system feature.,2025-05-31,2025-08-09,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ8EA785B08B3A4245,LNR-202600060,2,COMP-202600007,SCBX,2,Data Dashboard,Developed and maintained a key system feature.,2024-06-11,2024-08-12,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ435AC9D184404DE0,LNR-202600061,1,COMP-202600007,,3,Data Dashboard,Developed and maintained a key system feature.,2025-04-27,2025-06-26,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ26D9093BF7254F32,LNR-202600062,1,COMP-202600007,AIS,8,Data Dashboard,Developed and maintained a key system feature.,2025-05-27,2025-10-23,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJB5FBDFE5F7694726,LNR-202600064,1,COMP-202600005,SCBX,5,HR Platform,Developed and maintained a key system feature.,2024-06-01,2024-07-18,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJF6D1952128E5444C,LNR-202600073,1,COMP-202600003,Agoda,1,HR Platform,Developed and maintained a key system feature.,2025-03-22,2025-05-20,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ18B044CC50534441,LNR-202600073,2,COMP-202600003,AIS,7,API Gateway,Developed and maintained a key system feature.,2025-01-16,2025-06-01,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJCD52698B06ED4C75,LNR-202600074,1,COMP-202600001,SCBX,2,E-Commerce App,Developed and maintained a key system feature.,2025-05-11,2025-08-27,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ330C96CA79AA4101,LNR-202600074,2,COMP-202600004,True Corporation,6,Data Dashboard,Developed and maintained a key system feature.,2025-08-12,2026-01-24,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ771311D7B7BC4877,LNR-202600077,1,COMP-202600008,Bangchak,9,Data Dashboard,Developed and maintained a key system feature.,2024-11-05,2025-02-26,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ8A4F8B0F77D24C52,LNR-202600080,1,COMP-202600004,Bangchak,7,Data Dashboard,Developed and maintained a key system feature.,2025-05-02,2025-07-29,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ5CC095ECB7154DBE,LNR-202600087,1,COMP-202600009,SCBX,7,HR Platform,Developed and maintained a key system feature.,2025-02-14,2025-04-01,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ9C130F152DBD4827,LNR-202600087,2,COMP-202600002,,5,HR Platform,Developed and maintained a key system feature.,2024-08-25,2024-12-14,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ0C19829B35554DCB,LNR-202600089,1,COMP-202600008,Google Thailand,1,API Gateway,Developed and maintained a key system feature.,2025-03-05,2025-04-15,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ1942630A6C314B91,LNR-202600089,2,COMP-202600007,Bangchak,7,E-Commerce App,Developed and maintained a key system feature.,2024-11-29,2025-05-04,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJA0E52BB4BD6B4C7C,LNR-202600090,1,COMP-202600001,,3,API Gateway,Developed and maintained a key system feature.,2025-07-04,2025-11-12,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ7C7C50E0434A4484,LNR-202600090,2,COMP-202600003,KBTG,3,Data Dashboard,Developed and maintained a key system feature.,2025-01-07,2025-03-31,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ38F4A9617F934F39,LNR-202600091,1,,PTT,8,HR Platform,Developed and maintained a key system feature.,2025-04-07,2025-09-17,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJE2978D3A3957494F,LNR-202600092,1,COMP-202600003,SCG,1,Data Dashboard,Developed and maintained a key system feature.,2025-01-23,2025-03-30,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ8E8B822501734595,LNR-202600092,2,COMP-202600006,Bangchak,1,HR Platform,Developed and maintained a key system feature.,2025-06-16,2025-07-19,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJCACAFA80D6564972,LNR-202600095,1,COMP-202600001,Bangchak,9,API Gateway,Developed and maintained a key system feature.,2025-03-24,2025-08-30,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJDE792A7BFBDB42A9,LNR-202600096,1,COMP-202600003,True Corporation,7,API Gateway,Developed and maintained a key system feature.,2025-06-08,2025-10-18,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ5248894B80654F2F,LNR-202600097,1,COMP-202600003,LINE Thailand,10,Data Dashboard,Developed and maintained a key system feature.,2024-03-09,2024-05-26,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ6B00FEA9FB804DB1,LNR-202600098,1,COMP-202600006,LINE Thailand,2,HR Platform,Developed and maintained a key system feature.,2025-06-11,2025-07-21,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJEBF9B3D6EE034BFA,LNR-202600098,2,COMP-202600001,LINE Thailand,7,Data Dashboard,Developed and maintained a key system feature.,2025-02-07,2025-08-03,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJDB417584E67C4DED,LNR-202600101,1,COMP-202600009,SCG,1,API Gateway,Developed and maintained a key system feature.,2024-07-30,2024-09-14,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ42F9793437594942,LNR-202600101,2,COMP-202600005,Google Thailand,1,API Gateway,Developed and maintained a key system feature.,2025-03-05,2025-05-11,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ1A1E6C67143649BE,LNR-202600102,1,COMP-202600008,AIS,8,API Gateway,Developed and maintained a key system feature.,2025-06-29,2025-09-11,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ19205F34F1A5462F,LNR-202600102,2,COMP-202600002,PTT,6,E-Commerce App,Developed and maintained a key system feature.,2024-09-05,2024-11-12,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ355EB1044D2648A7,LNR-202600103,1,COMP-202600010,Agoda,9,API Gateway,Developed and maintained a key system feature.,2024-03-11,2024-06-08,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ70451C7F99204416,LNR-202600103,2,COMP-202600010,AIS,1,API Gateway,Developed and maintained a key system feature.,2025-06-20,2025-10-04,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ57CD52E2A7A042DA,LNR-202600104,1,COMP-202600009,Agoda,7,API Gateway,Developed and maintained a key system feature.,2025-03-13,2025-05-20,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJAA2E4C5579134BA4,LNR-202600104,2,COMP-202600001,SCBX,7,E-Commerce App,Developed and maintained a key system feature.,2025-04-11,2025-07-04,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ8BD1DBFFE24447F8,LNR-202600106,1,COMP-202600006,KBTG,4,API Gateway,Developed and maintained a key system feature.,2024-12-16,2025-04-11,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ9EACAC8CDA3D460E,LNR-202600107,1,COMP-202600009,LINE Thailand,5,HR Platform,Developed and maintained a key system feature.,2025-02-24,2025-07-04,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJE981F7ED590241CD,LNR-202600107,2,,True Corporation,7,HR Platform,Developed and maintained a key system feature.,2025-03-20,2025-07-09,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJADB24E25D26841C8,LNR-202600108,1,COMP-202600001,,8,E-Commerce App,Developed and maintained a key system feature.,2025-06-16,2025-09-03,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJA7742E408F324D13,LNR-202600110,1,COMP-202600007,SCG,10,Data Dashboard,Developed and maintained a key system feature.,2024-12-08,2025-04-09,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJEB48BB2075964F51,LNR-202600110,2,,SCBX,10,E-Commerce App,Developed and maintained a key system feature.,2025-03-02,2025-07-31,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ495CF4F9A54E4322,LNR-202600113,1,COMP-202600010,SCBX,9,HR Platform,Developed and maintained a key system feature.,2024-09-29,2025-03-07,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ18EC8A4229C94EC5,LNR-202600114,1,COMP-202600003,PTT,10,Data Dashboard,Developed and maintained a key system feature.,2024-02-22,2024-07-08,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ628E1ECF8AE54C5A,LNR-202600116,1,COMP-202600009,PTT,3,API Gateway,Developed and maintained a key system feature.,2024-07-25,2024-09-29,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ08C8EFE9CC584893,LNR-202600116,2,COMP-202600003,True Corporation,9,API Gateway,Developed and maintained a key system feature.,2024-02-21,2024-05-06,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJCD34C9AFD4A24B7F,LNR-202600117,1,COMP-202600007,LINE Thailand,6,Data Dashboard,Developed and maintained a key system feature.,2025-06-06,2025-09-12,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJDED42D4A53DF4573,LNR-202600118,1,COMP-202600004,SCG,5,E-Commerce App,Developed and maintained a key system feature.,2024-12-21,2025-06-07,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ0F6A846F671E4082,LNR-202600118,2,COMP-202600007,True Corporation,3,E-Commerce App,Developed and maintained a key system feature.,2025-07-09,2025-11-15,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ3ECB6CC9C0C548EF,LNR-202600119,1,COMP-202600005,Agoda,3,HR Platform,Developed and maintained a key system feature.,2025-07-03,2025-10-17,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ6190C0EF2A0040EE,LNR-202600121,1,COMP-202600002,KBTG,2,HR Platform,Developed and maintained a key system feature.,2025-07-25,2025-10-27,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJF728B4495B114271,LNR-202600121,2,,KBTG,10,E-Commerce App,Developed and maintained a key system feature.,2025-01-06,2025-07-01,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ0ABD234F5B3340E1,LNR-202600122,1,COMP-202600009,,7,API Gateway,Developed and maintained a key system feature.,2024-11-25,2025-05-09,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJB1497CDFAC0243C7,LNR-202600123,1,COMP-202600003,SCBX,2,Data Dashboard,Developed and maintained a key system feature.,2024-07-16,2024-12-22,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ8A8E0106B6AE4242,LNR-202600127,1,COMP-202600002,SCG,5,E-Commerce App,Developed and maintained a key system feature.,2025-02-07,2025-07-09,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJA32C34E5ECC24921,LNR-202600128,1,COMP-202600002,Bangchak,7,Data Dashboard,Developed and maintained a key system feature.,2024-04-20,2024-09-01,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
